c_id,annotator_1,annotator_2,annotator_3,p_label,p_value,p_target,c_testcase,t_case_local,t_function,t_gold,t_direction,t_id,c_order,annotation_common,annotation_selected
0,hateful,hateful,hateful,{IDENTITY_P},cina,Chinese,Sial cina.,Sial {IDENTITY_P}.,profanity_h,hateful,general,243,122,hateful,hateful
1,hateful,hateful,hateful,{IDENTITY_P},melayu,Malay,Sial melayu.,Sial {IDENTITY_P}.,profanity_h,hateful,general,243,361,hateful,hateful
2,hateful,hateful,hateful,{IDENTITY_P},india,Indians,Sial india.,Sial {IDENTITY_P}.,profanity_h,hateful,general,243,1032,hateful,hateful
3,hateful,hateful,hateful,{IDENTITY_P},orang orang kristian,Christian,Sial orang orang kristian.,Sial {IDENTITY_P}.,profanity_h,hateful,general,243,1604,hateful,hateful
4,hateful,hateful,hateful,{IDENTITY_P},orang orang islam,Muslim,Sial orang orang islam.,Sial {IDENTITY_P}.,profanity_h,hateful,general,243,1200,hateful,hateful
5,hateful,hateful,hateful,{IDENTITY_P},orang orang hindu,Hindu,Sial orang orang hindu.,Sial {IDENTITY_P}.,profanity_h,hateful,general,243,872,hateful,hateful
6,hateful,hateful,hateful,{IDENTITY_P},orang orang buddha,Buddhist,Sial orang orang buddha.,Sial {IDENTITY_P}.,profanity_h,hateful,general,243,156,hateful,hateful
7,hateful,hateful,hateful,{IDENTITY_P},pendatang pendatang,Immigrants,Sial pendatang pendatang.,Sial {IDENTITY_P}.,profanity_h,hateful,general,243,1891,hateful,hateful
8,hateful,non-hateful,hateful,{IDENTITY_P},orang orang gay,Homosexual,Sial orang orang gay.,Sial {IDENTITY_P}.,profanity_h,hateful,general,243,318,hateful,hateful
9,hateful,hateful,hateful,{IDENTITY_P},orang orang trans,Transexual,Sial orang orang trans.,Sial {IDENTITY_P}.,profanity_h,hateful,general,243,2113,hateful,hateful
10,hateful,hateful,hateful,{IDENTITY_P},perempuan perempuan,Women,Sial perempuan perempuan.,Sial {IDENTITY_P}.,profanity_h,hateful,general,243,756,hateful,hateful
11,hateful,hateful,hateful,{IDENTITY_P},orang orang kurang upaya,physically disabled,Sial orang orang kurang upaya.,Sial {IDENTITY_P}.,profanity_h,hateful,general,243,1621,hateful,hateful
12,hateful,hateful,hateful,{IDENTITY_P},orang orang berpenyakit mental,mentally ill,Sial orang orang berpenyakit mental.,Sial {IDENTITY_P}.,profanity_h,hateful,general,243,549,hateful,hateful
13,hateful,hateful,hateful,{IDENTITY_P},orang orang tua,seniors,Sial orang orang tua.,Sial {IDENTITY_P}.,profanity_h,hateful,general,243,1219,hateful,hateful
14,hateful,hateful,hateful,{IDENTITY_P},cina,Chinese,Apa hal dengan kau cina babi ni?,Apa hal dengan kau {IDENTITY_P} babi ni?,profanity_h,hateful,directed,242,1538,hateful,hateful
15,hateful,hateful,hateful,{IDENTITY_P},melayu,Malay,Apa hal dengan kau melayu babi ni?,Apa hal dengan kau {IDENTITY_P} babi ni?,profanity_h,hateful,directed,242,441,hateful,hateful
16,hateful,hateful,hateful,{IDENTITY_P},india,Indians,Apa hal dengan kau india babi ni?,Apa hal dengan kau {IDENTITY_P} babi ni?,profanity_h,hateful,directed,242,1090,hateful,hateful
17,hateful,hateful,hateful,{IDENTITY_P},orang orang kristian,Christian,Apa hal dengan kau orang orang kristian babi ni?,Apa hal dengan kau {IDENTITY_P} babi ni?,profanity_h,hateful,directed,242,1545,hateful,hateful
18,hateful,hateful,hateful,{IDENTITY_P},orang orang islam,Muslim,Apa hal dengan kau orang orang islam babi ni?,Apa hal dengan kau {IDENTITY_P} babi ni?,profanity_h,hateful,directed,242,813,hateful,hateful
19,hateful,hateful,hateful,{IDENTITY_P},orang orang hindu,Hindu,Apa hal dengan kau orang orang hindu babi ni?,Apa hal dengan kau {IDENTITY_P} babi ni?,profanity_h,hateful,directed,242,1775,hateful,hateful
20,hateful,hateful,hateful,{IDENTITY_P},orang orang buddha,Buddhist,Apa hal dengan kau orang orang buddha babi ni?,Apa hal dengan kau {IDENTITY_P} babi ni?,profanity_h,hateful,directed,242,822,hateful,hateful
